Date,Total Deceased Cases,State,Growth Factor
2020-03-09,0,Maharashtra,0.0
2020-03-10,0,Maharashtra,0.0
2020-03-11,0,Maharashtra,0.0
2020-03-12,0,Maharashtra,0.0
2020-03-13,0,Maharashtra,0.0
2020-03-14,0,Maharashtra,0.0
2020-03-15,0,Maharashtra,0.0
2020-03-16,0,Maharashtra,0.0
2020-03-17,1,Maharashtra,0.0
2020-03-18,1,Maharashtra,0.0
2020-03-19,1,Maharashtra,0.0
2020-03-20,1,Maharashtra,0.0
2020-03-21,1,Maharashtra,0.0
2020-03-22,2,Maharashtra,0.0
2020-03-23,2,Maharashtra,0.0
2020-03-24,2,Maharashtra,0.0
2020-03-25,3,Maharashtra,0.0
2020-03-26,3,Maharashtra,0.0
2020-03-27,4,Maharashtra,0.0
2020-03-28,5,Maharashtra,1.0
2020-03-29,6,Maharashtra,1.0
2020-03-30,8,Maharashtra,2.0
2020-03-31,9,Maharashtra,0.5
2020-04-01,9,Maharashtra,0.0
2020-04-02,13,Maharashtra,0.0
2020-04-03,16,Maharashtra,0.75
2020-04-04,19,Maharashtra,1.0
2020-04-05,24,Maharashtra,1.6666666666666667
2020-04-06,45,Maharashtra,4.2
2020-04-07,45,Maharashtra,0.0
2020-04-08,64,Maharashtra,0.0
2020-04-09,72,Maharashtra,0.42105263157894735
2020-04-10,97,Maharashtra,3.125
2020-04-11,110,Maharashtra,0.52
2020-04-12,127,Maharashtra,1.3076923076923077
2020-04-13,149,Maharashtra,1.2941176470588236
2020-04-14,160,Maharashtra,0.5
2020-04-15,178,Maharashtra,1.6363636363636365
2020-04-16,187,Maharashtra,0.5
2020-04-17,194,Maharashtra,0.7777777777777778
2020-04-18,201,Maharashtra,1.0
2020-04-19,211,Maharashtra,1.4285714285714286
2020-04-20,223,Maharashtra,1.2
2020-04-21,232,Maharashtra,0.75
2020-04-22,251,Maharashtra,2.111111111111111
2020-04-23,269,Maharashtra,0.9473684210526315
2020-04-24,283,Maharashtra,0.7777777777777778
2020-04-25,301,Maharashtra,1.2857142857142858
2020-04-26,323,Maharashtra,1.2222222222222223
2020-04-27,342,Maharashtra,0.8636363636363636
2020-04-28,369,Maharashtra,1.4210526315789473
2020-04-29,400,Maharashtra,1.1481481481481481
2020-04-30,432,Maharashtra,1.032258064516129
2020-05-01,459,Maharashtra,0.84375
2020-05-02,485,Maharashtra,0.9629629629629629
2020-05-03,521,Maharashtra,1.3846153846153846
2020-05-04,548,Maharashtra,0.75
2020-05-05,583,Maharashtra,1.2962962962962963
2020-05-06,617,Maharashtra,0.9714285714285714
2020-05-07,651,Maharashtra,1.0
2020-05-08,694,Maharashtra,1.2647058823529411
2020-05-09,731,Maharashtra,0.8604651162790697
2020-05-10,779,Maharashtra,1.2972972972972974
2020-05-11,832,Maharashtra,1.1041666666666667
2020-05-12,868,Maharashtra,0.6792452830188679
2020-05-13,921,Maharashtra,1.4722222222222223
2020-05-14,975,Maharashtra,1.0188679245283019
2020-05-15,1019,Maharashtra,0.8148148148148148
2020-05-16,1068,Maharashtra,1.1136363636363635
2020-05-17,1135,Maharashtra,1.3673469387755102
2020-05-18,1135,Maharashtra,0.0
2020-05-19,1249,Maharashtra,0.0
2020-05-20,1325,Maharashtra,0.6666666666666666
